<Term> <Document> <Freq> <Weight>
1 doc_991 1 0.394967
1 doc_992 1 0.112848
1 doc_995 1 0.157987
1 doc_999 3 0.215436
1% doc_508 1 0.603430
1% doc_662 1 0.482744
1% doc_721 1 0.482744
1% doc_930 1 0.603430
1,000 doc_123 1 0.317280
1,000 doc_378 1 0.211520
1,000 doc_902 1 0.362606
1,023 doc_733 1 0.274047
1,1 doc_297 1 0.602904
1,10 doc_136 2 1.507260
1,2 doc_670 1 0.387701
1,2 doc_746 1 0.542782
1,2,3 doc_907 1 0.251210
1,200-1,600 doc_997 1 0.430646
1,256 doc_719 1 0.430646
1,500 doc_165 2 0.536382
1,500 doc_183 2 0.536382
1,500 doc_263 1 0.402286
1,500 doc_987 1 0.134095
1,516 doc_356 1 0.753630
1,6 doc_298 2 0.861292
1,750 doc_726 1 0.753630
1-10 doc_994 1 0.301452
1-13 doc_586 1 0.301452
1-17 doc_994 1 0.301452
1-2 doc_435 1 0.230749
1-2 doc_547 1 0.507648
1-2 doc_756 2 0.634560
1-3 doc_879 1 1.004840
1-4 doc_107 1 0.251210
1-5 doc_435 1 0.246719
1-5 doc_747 1 0.678478
1.0 doc_346 3 0.634560
1.0 doc_435 1 0.230749
1.0 doc_451 1 0.634560
1.0% doc_676 1 0.430646
1.016 doc_135 1 1.004840
1.024 doc_135 1 1.004840
1.05 doc_570 1 0.301452
1.087 doc_305 1 0.334947
1.1 doc_662 1 0.602904
1.2 doc_440 1 0.502420
1.2% doc_941 1 0.430646
1.2-2.4 doc_561 1 0.430646
1.3 doc_327 1 0.603430
1.3 doc_440 1 0.402286
1.3 doc_451 1 0.603430
1.3 doc_943 3 1.034451
1.32 doc_569 1 0.301452
1.4 doc_305 1 0.334947
1.5 doc_567 1 0.331032
1.5 doc_633 1 0.110344
1.5 doc_71 1 0.386205
1.5 doc_95 1 0.386205
1.5 doc_999 1 0.210657
1.52 doc_385 1 0.301452
1.6 doc_80 1 0.135696
1.6 doc_943 1 0.387701
1.7 doc_325 1 0.678478
1.7 doc_327 1 0.678478
1.71 doc_557 1 0.602904
1.8 doc_41 1 0.193851
1.8 doc_439 1 0.452318
1.8-2.0 doc_46 1 0.753630
1.99.1.14 doc_136 1 0.753630
10 doc_1011 1 0.263557
10 doc_1026 1 0.527115
10 doc_104 1 0.117137
10 doc_113 1 0.081095
10 doc_118 1 0.081095
10 doc_123 1 0.131779
10 doc_131 3 0.316269
10 doc_133 1 0.117137
10 doc_136 2 0.527115
10 doc_137 4 0.200806
10 doc_142 1 0.263557
10 doc_154 1 0.175705
10 doc_162 1 0.105423
10 doc_164 1 0.263557
10 doc_168 4 0.702820
10 doc_196 1 0.075302
10 doc_197 3 0.287517
10 doc_198 5 0.527115
10 doc_199 1 0.065889
10 doc_207 1 0.087852
10 doc_247 1 0.210846
10 doc_263 1 0.175705
10 doc_275 1 0.095839
10 doc_290 1 0.263557
10 doc_292 1 0.117137
10 doc_298 2 0.301209
10 doc_3 1 0.210846
10 doc_302 1 0.175705
10 doc_305 1 0.117137
10 doc_310 1 0.062014
10 doc_312 1 0.210846
10 doc_321 1 0.150604
10 doc_324 1 0.095839
10 doc_331 1 0.175705
10 doc_348 2 0.351410
10 doc_349 1 0.351410
10 doc_368 3 0.316269
10 doc_373 1 0.263557
10 doc_385 1 0.105423
10 doc_395 4 0.527115
10 doc_396 1 0.175705
10 doc_40 3 0.395336
10 doc_409 1 0.351410
10 doc_411 2 0.421692
10 doc_423 1 0.210846
10 doc_428 2 0.234273
10 doc_434 1 0.210846
10 doc_435 4 0.383356
10 doc_44 1 0.263557
10 doc_448 1 0.263557
10 doc_460 1 0.210846
10 doc_468 1 0.527115
10 doc_481 6 0.575034
10 doc_487 1 0.351410
10 doc_50 2 0.421692
10 doc_504 2 0.263557
10 doc_51 2 0.702820
10 doc_512 1 0.131779
10 doc_518 1 0.175705
10 doc_519 6 1.054230
10 doc_542 1 0.087852
10 doc_545 1 0.263557
10 doc_560 1 0.263557
10 doc_561 1 0.150604
10 doc_565 1 0.175705
10 doc_569 1 0.105423
10 doc_57 1 0.351410
10 doc_588 1 0.150604
10 doc_593 1 0.095839
10 doc_626 1 0.210846
10 doc_646 1 0.117137
10 doc_665 1 0.210846
10 doc_666 1 0.095839
10 doc_70 1 0.175705
10 doc_715 1 0.087852
10 doc_740 1 0.175705
10 doc_744 1 0.263557
10 doc_75 1 0.150604
10 doc_799 1 0.117137
10 doc_801 1 0.351410
10 doc_811 2 0.150604
10 doc_832 1 0.351410
10 doc_842 1 0.351410
10 doc_855 1 0.263557
10 doc_862 1 0.081095
10 doc_864 7 1.054230
10 doc_872 1 0.131779
10 doc_873 2 0.351410
10 doc_885 1 0.527115
10 doc_893 1 0.175705
10 doc_901 1 0.117137
10 doc_902 2 0.301209
10 doc_903 1 0.042169
10 doc_912 1 0.351410
10 doc_922 1 0.175705
10 doc_929 1 0.131779
10 doc_932 4 0.702820
10 doc_989 1 0.150604
10 doc_994 2 0.210846
10 doc_999 1 0.095839
10% doc_1029 1 0.352393
10% doc_300 1 0.352393
10% doc_302 1 0.352393
10% doc_326 1 0.192215
10% doc_686 1 0.211436
10% doc_902 1 0.302052
10% doc_922 1 0.352393
10% doc_983 1 0.264295
10,000 doc_137 2 0.287097
10-12 doc_898 1 0.502420
10-15 doc_435 1 0.246719
10-15 doc_447 1 0.452318
10-15% doc_307 1 1.004840
10-2 doc_530 1 0.602904
10-3 doc_530 1 0.542782
10-3 doc_712 1 0.226159
10-30% doc_325 1 0.753630
10-4 doc_530 1 0.602904
10-40% doc_862 1 0.231886
10-7 doc_533 1 0.274047
10.0 doc_271 1 0.423040
10.0 doc_41 1 0.181303
10.0 doc_902 1 0.362606
10.2% doc_1004 1 0.301452
10.3% doc_407 1 0.274047
10.5 doc_181 1 0.753630
10.50 doc_248 1 1.004840
10.8 doc_181 2 1.356955
10.8 doc_454 1 0.542782
100 doc_104 1 0.170620
100 doc_121 1 0.255930
100 doc_150 4 0.767790
100 doc_157 1 0.191947
100 doc_188 1 0.255930
100 doc_208 1 0.191947
100 doc_243 2 0.279196
100 doc_290 1 0.383895
100 doc_3 1 0.307116
100 doc_378 1 0.127965
100 doc_385 1 0.153558
100 doc_41 1 0.109684
100 doc_420 2 0.204744
100 doc_439 1 0.255930
100 doc_452 1 0.170620
100 doc_472 1 0.139598
100 doc_530 1 0.307116
100 doc_570 1 0.153558
100 doc_653 1 0.511860
100 doc_662 1 0.307116
100 doc_740 1 0.255930
100 doc_764 1 0.255930
100 doc_790 1 0.511860
100 doc_832 1 0.511860
100 doc_834 2 0.383895
100 doc_879 1 0.511860
100 doc_903 1 0.061423
100 doc_913 1 0.219369
100 doc_957 1 0.191947
100 doc_988 1 0.255930
100 doc_991 1 0.767790
100% doc_276 1 0.447693
100% doc_356 1 0.559616
100% doc_460 1 0.447693
100% doc_519 2 0.746155
100% doc_638 1 0.559616
100% doc_851 1 0.203497
100-137 doc_307 1 1.004840
100-150 doc_697 1 0.502420
1000 doc_1031 1 0.331032
1000 doc_385 1 0.231723
1000 doc_633 3 0.331032
1000 doc_675 2 0.257470
1000 doc_982 1 1.158614
101 doc_41 1 0.193851
101 doc_428 5 1.507728
1013 doc_338 1 0.376815
102 doc_959 1 0.274047
1021 doc_323 1 0.301452
103 doc_434 1 0.602904
104 doc_41 1 0.181303
104 doc_435 1 0.230749
104 doc_82 1 0.846080
1044 doc_433 1 0.502420
105 doc_569 1 0.301452
1050 doc_993 1 1.507260
1051 doc_633 1 0.143549
106 doc_208 1 0.339239
106 doc_338 1 0.339239
10642 doc_297 1 0.602904
1066 doc_531 1 0.753630
107 doc_646 1 0.301546
107 doc_999 2 0.493438
1076 doc_881 1 0.301452
109 doc_757 1 0.904637
109 doc_795 1 0.678478
11 doc_1006 1 0.184084
11 doc_1017 1 0.163631
11 doc_1023 1 0.490892
11 doc_110 1 0.368169
11 doc_115 1 0.245446
11 doc_121 1 0.245446
11 doc_148 1 0.122723
11 doc_150 1 0.184084
11 doc_210 1 0.368169
11 doc_226 1 0.736338
11 doc_229 2 0.368169
11 doc_26 1 0.210382
11 doc_282 1 0.245446
11 doc_349 1 0.490892
11 doc_373 1 0.368169
11 doc_487 1 0.490892
11 doc_547 1 0.294535
11 doc_561 1 0.210382
11 doc_569 1 0.147268
11 doc_614 1 0.210382
11 doc_649 1 0.147268
11 doc_682 2 0.589070
11 doc_740 2 0.490892
11 doc_798 1 0.245446
11 doc_817 1 0.294535
11 doc_876 1 0.184084
11 doc_893 1 0.245446
11 doc_912 1 0.490892
11 doc_927 1 0.163631
11 doc_933 1 0.210382
11 doc_937 1 0.490892
11 doc_963 1 0.294535
11 doc_964 1 0.245446
11 doc_974 1 0.210382
11 doc_997 2 0.420764
11 doc_999 1 0.133880
11% doc_410 1 0.344817
11% doc_922 1 0.402286
11% doc_984 1 0.804573
11% doc_991 1 1.206859
11-20 doc_13 1 1.004840
11.5 doc_192 1 0.430646
11.6 doc_145 1 0.904637
11.6 doc_80 2 0.271391
11.8 doc_150 1 0.376815
110 doc_1022 1 0.602904
1100 doc_2 1 0.251210
1106 doc_409 1 1.004840
1107 doc_441 1 0.753630
111 doc_218 2 0.493438
111 doc_454 1 0.542782
1116 doc_291 1 0.274047
112 doc_983 1 0.376815
113 doc_383 1 0.542782
113 doc_715 2 0.452318
11306 doc_498 1 0.430646
1131 doc_362 1 0.602904
1139 doc_420 1 0.200968
114 doc_216 1 0.603430
114 doc_229 1 0.301715
114 doc_650 1 0.301715
114 doc_655 1 0.482744
1142 doc_524 1 0.753630
1143 doc_525 1 0.753630
116 doc_1029 1 0.452318
116 doc_831 1 0.301546
1161 doc_276 1 0.602904
1162 doc_277 1 0.502420
1163 doc_331 1 0.502420
1172 doc_526 1 1.004840
118 doc_719 1 0.430646
12 doc_1029 1 0.233057
12 doc_110 1 0.349586
12 doc_115 1 0.233057
12 doc_188 1 0.233057
12 doc_209 1 0.199763
12 doc_222 1 0.349586
12 doc_25 1 0.233057
12 doc_313 2 0.254244
12 doc_329 1 0.279669
12 doc_349 1 0.466115
12 doc_375 1 0.349586
12 doc_385 1 0.139834
12 doc_400 4 0.699172
12 doc_403 2 0.349586
12 doc_411 1 0.279669
12 doc_422 1 0.279669
12 doc_443 1 0.349586
12 doc_463 1 0.233057
12 doc_468 1 0.699172
12 doc_487 2 0.932229
12 doc_51 1 0.466115
12 doc_570 1 0.139834
12 doc_576 1 0.233057
12 doc_585 1 0.233057
12 doc_609 1 0.139834
12 doc_63 1 0.233057
12 doc_681 1 0.139834
12 doc_697 1 0.233057
12 doc_719 1 0.199763
12 doc_758 2 0.466115
12 doc_858 1 0.349586
12 doc_863 1 0.279669
12 doc_880 1 0.233057
12 doc_910 1 0.233057
12 doc_926 2 0.279669
12 doc_927 1 0.155372
12 doc_929 3 0.524379
12 doc_935 1 0.699172
12 doc_95 2 0.466115
12 doc_984 1 0.466115
12 doc_994 3 0.419503
12 doc_995 1 0.279669
12 doc_999 1 0.127122
12% doc_333 1 0.376815
12,000 doc_181 1 0.753630
12-86% doc_310 1 0.177325
12.0 doc_883 1 0.376815
12.1% doc_463 1 0.502420
12.5 doc_104 1 0.334947
12.5% doc_421 1 0.376815
12.8 doc_510 1 0.602904
12.9 doc_633 1 0.143549
120 doc_244 1 0.253824
120 doc_647 1 0.423040
120 doc_715 1 0.211520
1202 doc_403 1 0.376815
1207 doc_405 1 0.753630
12083 doc_348 1 0.502420
1209 doc_485 1 0.215323
121 doc_278 1 0.387701
121 doc_780 1 0.542782
1218 doc_454 1 0.602904
123 doc_392 2 1.507260
124 doc_1004 1 0.271391
124 doc_901 1 0.301546
125 doc_385 7 1.689603
125 doc_392 1 0.603430
125 doc_952 1 0.482744
125 doc_981 1 0.804573
125,000 doc_401 1 0.301452
127 doc_831 1 0.334947
128 doc_542 1 0.251210
1281 doc_369 1 1.507260
1287 doc_349 1 1.004840
1288 doc_350 1 1.004840
13 doc_1016 1 0.229989
13 doc_113 1 0.123840
13 doc_118 1 0.123840
13 doc_196 3 0.344983
13 doc_199 1 0.100620
13 doc_329 1 0.321985
13 doc_385 1 0.160992
13 doc_567 2 0.459978
13 doc_573 1 0.178880
13 doc_578 1 0.321985
13 doc_694 2 0.357761
13 doc_75 1 0.229989
13 doc_758 1 0.268320
13 doc_782 1 0.402481
13 doc_793 1 0.804961
13 doc_799 1 0.178880
13 doc_84 1 0.201240
13 doc_876 1 0.201240
13 doc_877 2 0.804961
13 doc_893 1 0.268320
13 doc_91 1 0.402481
13 doc_927 2 0.357761
13 doc_935 1 0.804961
13 doc_944 1 0.804961
13 doc_963 2 0.643969
13 doc_983 1 0.201240
13% doc_310 1 0.141983
13% doc_333 2 0.603430
13% doc_799 1 0.268191
13% doc_908 1 0.172408
13.6 doc_503 1 0.502420
13.9 doc_478 1 0.502420
130 doc_199 1 0.188408
1303 doc_355 1 0.334947
131 doc_261 1 0.723978
131 doc_385 1 0.217194
131 doc_390 3 0.930829
131 doc_391 1 0.542984
131 doc_392 1 0.542984
131 doc_393 1 0.361989
131 doc_725 2 1.447957
1319 doc_456 1 1.004840
132 doc_246 1 0.507648
132 doc_392 1 0.634560
132 doc_646 1 0.282027
1320 doc_332 1 0.301452
133 doc_267 1 0.339239
133 doc_401 1 0.271391
134 doc_865 2 0.354649
135 doc_278 1 0.430646
1350 doc_676 2 0.861292
136 doc_290 2 1.356955
136 doc_771 1 0.678478
1361 doc_476 1 0.502420
1362 doc_477 1 0.301452
1368 doc_534 1 0.602904
1375 doc_395 1 0.376815
1377 doc_396 1 0.502420
1378 doc_397 1 0.430646
1379 doc_382 1 0.753630
1384 doc_360 1 1.004840
1388 doc_358 1 0.334947
14 doc_1010 1 0.754622
14 doc_118 1 0.116096
14 doc_216 1 0.377311
14 doc_243 2 0.274408
14 doc_26 1 0.215606
14 doc_282 1 0.251541
14 doc_302 1 0.251541
14 doc_310 1 0.088779
14 doc_311 1 0.215606
14 doc_313 1 0.137204
14 doc_32 1 0.215606
14 doc_398 1 0.377311
14 doc_435 1 0.137204
14 doc_458 1 0.167694
14 doc_46 1 0.377311
14 doc_482 1 0.251541
14 doc_533 2 0.274408
14 doc_571 1 0.215606
14 doc_586 2 0.301849
14 doc_594 2 0.377311
14 doc_744 1 0.377311
14 doc_745 1 0.377311
14 doc_758 1 0.251541
14 doc_841 4 0.402465
14 doc_851 2 0.274408
14 doc_854 1 0.377311
14 doc_873 1 0.251541
14 doc_92 1 0.188655
14 doc_922 1 0.251541
14 doc_946 1 0.503081
14 doc_959 1 0.137204
14 doc_973 1 0.377311
14 doc_974 1 0.215606
14% doc_333 1 0.339239
14% doc_997 1 0.387701
14,000 doc_432 1 0.430646
14-19 doc_51 1 1.004840
14.1 doc_271 1 0.502420
14.3 doc_557 1 0.542782
14.3 doc_706 1 0.542782
14.7 doc_80 2 0.301452
14.8 doc_80 1 0.150726
14.8% doc_409 1 1.004840
140 doc_186 1 0.904637
140 doc_212 1 0.301546
1400 doc_2 1 0.251210
141 doc_983 1 0.376815
142 doc_404 1 0.753630
144 doc_977 1 0.502420
1451 doc_483 1 1.004840
146 doc_3 1 0.602904
1463 doc_499 1 0.125605
149 doc_799 2 0.669893
1494 doc_514 1 0.753630
15 doc_113 1 0.107565
15 doc_153 1 0.349586
15 doc_168 1 0.233057
15 doc_2 4 0.466115
15 doc_207 1 0.116529
15 doc_208 1 0.174793
15 doc_233 1 0.466115
15 doc_242 1 0.199763
15 doc_259 1 0.082256
15 doc_270 1 0.279669
15 doc_322 1 0.174793
15 doc_334 1 0.279669
15 doc_342 1 0.199763
15 doc_411 2 0.559338
15 doc_414 1 0.279669
15 doc_420 1 0.093223
15 doc_421 1 0.174793
15 doc_435 1 0.127122
15 doc_44 1 0.349586
15 doc_472 1 0.127122
15 doc_482 1 0.233057
15 doc_490 1 0.233057
15 doc_516 1 0.466115
15 doc_550 1 0.466115
15 doc_562 3 0.599290
15 doc_570 1 0.139834
15 doc_572 1 0.699172
15 doc_576 1 0.233057
15 doc_626 1 0.279669
15 doc_663 1 0.349586
15 doc_758 1 0.233057
15 doc_762 1 0.279669
15 doc_780 1 0.279669
15 doc_80 2 0.139834
15 doc_834 2 0.349586
15 doc_86 1 0.349586
15 doc_901 2 0.310743
15 doc_908 1 0.099882
15 doc_91 1 0.349586
15 doc_922 2 0.466115
15 doc_970 1 0.466115
15 doc_983 1 0.174793
15 doc_985 1 0.199763
15,000 doc_472 1 0.274047
15,25,50 doc_903 1 0.120581
15.33% doc_959 1 0.274047
15.5 doc_150 1 0.376815
150 doc_430 3 0.904637
150 doc_694 1 0.301546
150,000 doc_401 1 0.301452
150-200 doc_518 1 0.452318
150-200 doc_883 1 0.339239
1520 doc_475 1 1.507260
154% doc_410 1 0.430646
1541 doc_516 1 1.004840
1545 doc_326 1 0.274047
1547 doc_327 1 0.753630
1560 doc_278 1 0.430646
1571 doc_169 1 1.004840
1577 doc_517 1 0.430646
159 doc_169 1 1.004840
1593 doc_412 1 0.753630
16 doc_1000 1 0.283437
16 doc_138 1 0.425155
16 doc_208 1 0.212578
16 doc_219 1 0.283437
16 doc_253 1 0.340124
16 doc_326 1 0.154602
16 doc_337 1 0.566874
16 doc_346 1 0.141718
16 doc_347 2 0.309204
16 doc_383 1 0.340124
16 doc_400 1 0.212578
16 doc_477 2 0.340124
16 doc_512 1 0.212578
16 doc_609 1 0.170062
16 doc_721 1 0.340124
16 doc_75 1 0.242946
16 doc_758 1 0.283437
16 doc_764 1 0.283437
16 doc_77 1 0.340124
16 doc_86 1 0.425155
16 doc_902 1 0.242946
16% doc_370 1 0.753630
16,27 doc_758 1 0.502420
16.6 doc_567 1 0.430646
16.6% doc_841 1 0.200968
16.7 doc_715 1 0.251210
160 doc_201 1 0.542782
160 doc_631 1 0.542782
1600 doc_48 1 0.339239
1600 doc_993 1 1.356955
161 doc_365 1 0.502420
1635 doc_315 1 0.753630
1636 doc_316 1 0.753630
1642 doc_317 1 0.602904
1655-1663 doc_196 1 0.215323
1671 doc_391 1 0.753630
168 doc_194 3 0.993097
168 doc_196 2 0.331032
168 doc_197 2 0.421314
168 doc_409 1 0.772409
168 doc_471 1 0.386205
168,350 doc_988 1 0.502420
1685 doc_279 1 0.753630
1688 doc_287 1 0.602904
1689 doc_288 1 0.502420
169 doc_514 1 0.678478
169 doc_901 1 0.301546
1696 doc_402 1 0.502420
17 doc_148 12 1.549412
17 doc_150 1 0.193677
17 doc_151 1 0.221345
17 doc_17 1 0.309882
17 doc_226 2 1.549412
17 doc_228 3 0.664034
17 doc_229 3 0.581030
17 doc_271 1 0.258235
17 doc_383 1 0.309882
17 doc_41 1 0.110672
17 doc_439 2 0.516471
17 doc_443 1 0.387353
17 doc_444 1 0.154941
17 doc_449 4 1.549412
17 doc_452 9 1.549412
17 doc_460 2 0.619765
17 doc_463 1 0.258235
17 doc_464 1 0.387353
17 doc_500 1 0.221345
17 doc_504 1 0.193677
17 doc_533 1 0.140856
17 doc_6 1 0.309882
17 doc_646 1 0.172157
